X,Y,Z,R,G,B
213.4242279667367,-27.84100144122137,566.3267192337042,104,79,93
227.30114970753473,80.77842405941502,560.2948057621293,112,92,112
-335.3090762606625,31.73025546625878,557.4612694337865,118,106,128
248.19091502905923,29.20012857078306,563.9047026304756,127,112,126
121.44950662016012,-244.4746666691218,575.3271178123664,117,88,103
278.7829580989626,-184.29885695922263,573.2770886719568,126,113,136
254.62258407918208,-205.27132277132654,574.6768714424679,58,45,67
198.81525587623088,90.26929485403656,559.902296596645,119,103,128
308.9113235130801,-105.31873428462637,569.7834176151104,124,102,121
148.31877674925178,-231.13834097014188,576.3473904584589,103,71,80
115.61071952513318,-171.38293791664864,571.8500861668376,89,59,71
125.71552187841142,-223.95482730579707,575.2269954345832,131,113,136
296.63772975596584,52.978065949504504,562.2287048172489,132,114,127
209.76334617208198,-250.72531862064565,576.410086426796,126,112,134
160.74415351763568,-248.94796591420695,576.5612245540563,77,52,72
177.46610224685665,-250.2011261031436,575.6802009626697,135,124,149
306.6620464278998,76.3628647333767,560.7119478442777,106,74,81
244.5733407730033,109.38761785526101,558.3680863366653,121,104,123
256.1205425806677,-154.87273921265918,570.6410076311441,122,100,118
306.7279552244911,11.250013888663378,564.1004844757074,134,105,116
112.29808682480041,-145.5038640327354,572.1384384624332,94,77,86
310.34748869873806,7.26595041375698,564.6170908283108,63,43,57
305.7108203890326,-7.58866130389218,564.9785975641872,125,106,123
184.01226304934383,29.58060372904212,562.1146206406396,149,123,136
238.16899057845964,32.58683069020352,562.5339072520053,110,84,90
128.17429424149412,-84.54408135845497,569.210980526648,122,84,98
296.95918151396353,-7.974873093480481,565.3372425878346,134,117,134
171.78560966250035,24.54339876247462,562.5739003899776,76,53,64
298.85344658810567,29.098897151479893,562.8730310120135,145,117,132
240.6851118713333,54.276345612149115,561.9793349955,135,117,132
220.3211868013644,75.94711878186548,561.381398411231,98,74,88
215.99933900219543,-90.74782532451935,569.1010541323737,142,118,133
-308.44791446671354,-33.331833475574804,561.3491451294035,123,106,124
265.23792423247454,109.94267263924198,559.348036766492,138,118,130
211.7225321922163,-191.23372878852604,572.4348491812854,127,104,123
202.09624360256316,4.91053831775739,565.3720163750705,64,52,64
-42.89180602247619,39.73452054534213,502.4436128411731,125,85,104
342.3308589635848,-37.39090349282261,639.3687678855309,83,86,127
-281.314503726774,20.9818735006398,559.4060394860489,15,27,75
240.79663553119605,-34.49896513604003,567.1253124689616,106,84,89
137.38158234722565,45.313175129895214,504.0832514605161,54,32,41
294.267507077598,-4.90746873289583,564.9800105674141,98,78,90
313.2620054151671,-10.239301030126299,565.1827784425009,79,62,87
-56.20768409445318,132.085085726069,483.39743133761175,73,41,62
-67.62356341416269,141.5834008692334,485.32450399720136,125,93,109
70.14615618419727,89.75649812039232,380.1896735143358,74,42,57
100.67601652485114,102.2678608399402,467.825891881896,82,52,70
-328.7039192998487,134.96036674662707,380.410853335174,45,63,50
-315.4043128459576,136.93879655620478,394.54004515286977,71,93,72
184.8948641106806,69.45158519973845,562.1362277369795,117,117,134
250.45736560592874,73.28072828497267,563.074786951346,119,114,137
96.87381080620192,62.185405466747824,398.0009689381397,109,61,73
208.0857160608936,71.91150858110123,560.0431558647255,78,70,85
171.9245243320355,86.62243772818961,560.367785610715,69,53,67
173.63260801054767,88.28391598882061,561.11231884217,0,0,0
88.05691514530626,73.744549106658,395.61083812210234,60,24,26
90.68310682791798,-286.66552681619794,576.843587278888,113,103,128
333.5639844079946,-251.59541156359694,679.0071582582844,150,170,207
