X,Y,Z,R,G,B
20.204784544135805,-686.4527608719645,26.677670617459796,165,114,67
333.10312139362543,-784.5599994738354,359.00251392497785,176,121,69
122.55934972619184,-718.5764097181184,134.09008477108927,196,147,83
106.39103454448701,-713.7171603412148,116.16061091579226,208,163,91
217.4462904868618,-747.3390976288097,235.62028756266983,207,160,89
100.22613734678998,-711.648854116502,106.75415473199499,145,90,52
100.22613734678998,-711.648854116502,106.75415473199499,145,90,52
331.68496203326805,-783.0878569973727,354.4629868499584,194,144,81
36.643030682131666,-687.5822721631148,47.079330103995034,212,167,89
242.55264407066852,-754.9119848729099,258.46966998474926,203,155,86
95.31508795464828,-708.8123689076276,100.66311343668852,197,149,85
20.952347030415467,-693.2404274025114,3.9602361053680397,189,141,80
51.970725967809244,-693.1319271136759,56.67004034260299,201,152,85
51.740578617000494,-692.7648227307963,56.854651471042075,201,152,85
103.74397373798132,-710.2981908870581,108.85613198849029,209,162,88
118.40866474674397,-714.7675915823318,123.46825503793139,173,118,67
118.40866474674397,-714.7675915823318,123.46825503793139,173,118,67
354.6886480572897,-787.9936840161597,375.5908034550314,195,146,83
-225.51490877123402,-493.9556132645195,-1.404288934683592,182,136,78
347.75905067097824,-787.432898204873,358.3157110890725,181,128,72
14.929337733157865,-679.7451287084002,13.882421671146545,187,138,79
234.17428846291745,-747.1162327984871,247.8002473650405,206,159,86
212.4269980292636,-742.9876068207743,217.2615470768078,182,130,75
212.20968330058548,-742.7332634712309,217.24864976499236,179,126,73
0.2076363844818161,-671.0930940320501,4.584762568231639,178,128,74
186.22069976210372,-733.5905508126514,191.35882532646116,207,160,86
390.1418502690455,-798.5477343708787,403.78611667440987,187,135,79
16.262670562855703,-680.4125822100137,10.733897114143616,185,136,78
276.0749400931353,-766.4689035638875,274.79599114209907,205,158,85
259.42891736308815,-754.8603787194148,269.7209875093747,179,127,70
98.44181564608112,-705.9475702665791,95.06205316962547,152,95,53
98.44181564608112,-705.9475702665791,95.06205316962547,152,95,53
61.23078399739461,-695.3054192472879,53.592841788491654,144,90,54
193.8669666103189,-735.6361376698825,195.6228002307184,188,137,81
409.80258725651976,-805.5959577154474,417.6189167446415,190,138,79
52.48400494342809,-691.1662914546447,46.4046925315605,213,168,91
325.63103820957303,-776.6886841269395,331.6778540203958,160,106,62
61.93226200394366,-695.7213812562782,48.889541099720816,160,107,63
64.51943982135037,-693.5676898005102,57.663077809658006,218,173,94
218.73435200618508,-742.7736152022304,217.0341689552618,211,164,88
204.9678585220417,-737.6924300088999,203.24711761808265,203,155,88
376.05069492091087,-790.0510704810547,383.62818503956083,195,146,83
255.54904967127072,-753.8279345859501,253.29224767791436,206,157,85
132.00896411320167,-713.6006558214285,126.39593535068988,172,115,64
331.15929441196784,-776.1143374407668,334.99016499903234,194,144,83
276.4337173210966,-760.0936715080456,273.1642508098231,207,158,86
199.4217628284229,-733.9237494221408,195.9284086097407,169,118,70
199.92558938541242,-736.0907832554299,191.48989193912033,211,168,94
324.94995158423677,-774.1528476710334,324.4503588020558,164,108,65
203.00997299678346,-735.3561571481255,197.18176818759042,183,130,73
414.4959751142065,-800.5755572751212,418.70638323242554,191,141,80
192.970032383285,-732.3905297039446,184.12159649552007,173,122,70
192.970032383285,-732.3905297039446,184.12159649552007,173,122,70
20.430917609633184,-678.83789440766,2.3776318375716414,148,100,61
65.39907369664996,-693.8023929750378,46.8767376280793,213,169,93
131.1663199925971,-714.9548941963999,114.46261423878644,211,166,91
70.08255608153098,-693.7254660972899,52.291180509272436,166,112,67
70.08255608153098,-693.7254660972899,52.291180509272436,166,112,67
99.82813461839987,-703.3014720150702,81.70666518475787,167,113,66
99.82813461839987,-703.3014720150702,81.70666518475787,167,113,66
131.71342383262913,-707.9918702719866,126.16100991264179,179,126,71
335.48883697034137,-776.1536099487414,329.21696848549857,195,145,84
281.1623112375694,-757.4384451786435,276.27685678793864,209,160,87
388.2990110283733,-792.3230371341278,383.1251960911352,187,135,78
25.82333561256587,-679.6288656959341,2.87107502509582,195,152,87
149.35367037193424,-720.1059343314168,121.43675527640639,180,126,73
229.98664037773017,-739.5865081875818,216.13641569305585,198,151,87
188.9764632391982,-729.1414115016096,167.11851428012895,213,169,94
374.61106314705376,-784.5077453598363,365.3977568859695,192,141,81
-62.917838008714284,-607.6716711776729,-2.054936821082805,186,141,79
101.24971780636668,-702.253821555137,70.73566289464839,171,118,69
101.24971780636668,-702.253821555137,70.73566289464839,171,118,69
105.53771400444361,-701.7432718329134,78.87227066106519,211,166,93
326.2977211334088,-770.3119693854426,306.9305088862285,166,109,66
216.65963881695552,-736.0061620879883,193.1708000772826,200,156,90
154.54451205442706,-716.3698847291985,128.25699117328858,207,162,90
160.44239810677783,-719.2062482711849,131.94164364809953,210,163,90
245.7578593782194,-741.6183913212602,229.060930960031,210,163,90
193.16657103987535,-727.6413197855652,166.30292212522176,181,129,74
376.07812163101084,-783.7557510344594,356.6921982115147,196,147,84
326.67650206786084,-769.2962991282238,301.9096206648647,167,112,67
299.37268814138815,-759.8051622362841,275.5659859470872,210,162,88
189.12400079851722,-725.656618370461,158.25115306791514,214,169,92
